date,scenario,country,product,product_family,segment,units,list_price,discount_rate,gross_sales,discount_value,net_revenue,unit_cost,cogs,gross_profit,gross_margin_pct
2026-01-01,Latest Forecast,Denmark,Sensor X,Sensor Systems,Enterprise,53,8150,0.058577,431950,25302.34,406647.66,3385.09,179409.77,227237.89,0.558808
2026-01-01,Latest Forecast,Denmark,Sensor X,Sensor Systems,SME,41,8150,0.043307,334150,14471.03,319678.97,3385.09,138788.69,180890.28,0.56585
2026-01-01,Latest Forecast,Denmark,Sensor X,Sensor Systems,Systems Integrator,27,8150,0.111026,220050,24431.27,195618.73,3385.09,91397.43,104221.3,0.532778
2026-01-01,Latest Forecast,Denmark,Sensor X Pro,Sensor Systems,Distributor,25,12300,0.127998,307500,39359.39,268140.61,5524.66,138116.5,130024.11,0.48491
2026-01-01,Latest Forecast,Denmark,Sensor X Pro,Sensor Systems,Enterprise,42,12300,0.054455,516600,28131.45,488468.55,5524.66,232035.72,256432.83,0.524973
2026-01-01,Latest Forecast,Denmark,Sensor X Pro,Sensor Systems,SME,27,12300,0.046192,332100,15340.36,316759.64,5524.66,149165.82,167593.82,0.529088
2026-01-01,Latest Forecast,Denmark,Sensor X Pro,Sensor Systems,Systems Integrator,22,12300,0.108763,270600,29431.27,241168.73,5524.66,121542.52,119626.21,0.496027
2026-01-01,Latest Forecast,Denmark,Service Kit,Accessories & Services,Distributor,28,5150,0.135518,144200,19541.7,124658.3,1550.08,43402.24,81256.06,0.65183
2026-01-01,Latest Forecast,Denmark,Service Kit,Accessories & Services,Enterprise,56,5150,0.055971,288400,16142.04,272257.96,1550.08,86804.48,185453.48,0.681168
2026-01-01,Latest Forecast,Denmark,Service Kit,Accessories & Services,SME,34,5150,0.052683,175100,9224.79,165875.21,1550.08,52702.72,113172.49,0.682275
2026-01-01,Latest Forecast,Denmark,Service Kit,Accessories & Services,Systems Integrator,25,5150,0.082222,128750,10586.08,118163.92,1550.08,38752.0,79411.92,0.672049
2026-01-01,Latest Forecast,Germany,Connectivity Pack,Accessories & Services,Distributor,157,2900,0.136863,455300,62313.72,392986.28,903.71,141882.47,251103.81,0.638963
2026-01-01,Latest Forecast,Germany,Connectivity Pack,Accessories & Services,Enterprise,102,2900,0.049883,295800,14755.39,281044.61,903.71,92178.42,188866.19,0.672015
2026-01-01,Latest Forecast,Germany,Connectivity Pack,Accessories & Services,SME,52,2900,0.049976,150800,7536.38,143263.62,903.71,46992.92,96270.7,0.671983
2026-01-01,Latest Forecast,Germany,Connectivity Pack,Accessories & Services,Systems Integrator,104,2900,0.116764,301600,35216.02,266383.98,903.71,93985.84,172398.14,0.647179
2026-01-01,Latest Forecast,Germany,Control Mini,Control Systems,Distributor,114,14600,0.145107,1664400,241516.09,1422883.91,7733.33,881599.62,541284.29,0.380414
2026-01-01,Latest Forecast,Germany,Control Mini,Control Systems,Enterprise,63,14600,0.068816,919800,63296.96,856503.04,7733.33,487199.79,369303.25,0.431176
2026-01-01,Latest Forecast,Germany,Control Mini,Control Systems,SME,43,14600,0.051678,627800,32443.45,595356.55,7733.33,332533.19,262823.36,0.441455
2026-01-01,Latest Forecast,Germany,Control Mini,Control Systems,Systems Integrator,62,14600,0.096965,905200,87772.72,817427.28,7733.33,479466.46,337960.82,0.413445
2026-01-01,Latest Forecast,Germany,EdgeHub Core,Control Systems,Distributor,88,28250,0.147221,2486000,365991.41,2120008.59,15640.21,1376338.48,743670.11,0.350786
2026-01-01,Latest Forecast,Germany,EdgeHub Core,Control Systems,Enterprise,51,28250,0.060467,1440750,87117.83,1353632.17,15640.21,797650.71,555981.46,0.410733
2026-01-01,Latest Forecast,Germany,EdgeHub Core,Control Systems,SME,34,28250,0.03816,960500,36652.68,923847.32,15640.21,531767.14,392080.18,0.424399
2026-01-01,Latest Forecast,Germany,EdgeHub Core,Control Systems,Systems Integrator,56,28250,0.086415,1582000,136708.53,1445291.47,15640.21,875851.76,569439.71,0.393996
2026-01-01,Latest Forecast,Germany,EdgeHub Pro,Control Systems,Distributor,58,42350,0.118778,2456300,291754.4,2164545.6,25027.36,1451586.88,712958.72,0.32938
2026-01-01,Latest Forecast,Germany,EdgeHub Pro,Control Systems,Enterprise,38,42350,0.059884,1609300,96371.32,1512928.68,25027.36,951039.68,561889.0,0.371392
2026-01-01,Latest Forecast,Germany,EdgeHub Pro,Control Systems,SME,21,42350,0.036081,889350,32088.64,857261.36,25027.36,525574.56,331686.8,0.386914
2026-01-01,Latest Forecast,Germany,EdgeHub Pro,Control Systems,Systems Integrator,36,42350,0.11545,1524600,176015.07,1348584.93,25027.36,900984.96,447599.97,0.331903
2026-01-01,Latest Forecast,Germany,Sensor Lite,Sensor Systems,Distributor,192,3950,0.131096,758400,99423.21,658976.79,1681.4,322828.8,336147.99,0.510106
2026-01-01,Latest Forecast,Germany,Sensor Lite,Sensor Systems,Enterprise,125,3950,0.052506,493750,25924.84,467825.16,1681.4,210175.0,257650.16,0.55074
2026-01-01,Latest Forecast,Germany,Sensor Lite,Sensor Systems,SME,74,3950,0.077514,292300,22657.34,269642.66,1681.4,124423.6,145219.06,0.538561
2026-01-01,Latest Forecast,Germany,Sensor Lite,Sensor Systems,Systems Integrator,106,3950,0.121265,418700,50773.66,367926.34,1681.4,178228.4,189697.94,0.515587
2026-01-01,Latest Forecast,Germany,Sensor X,Sensor Systems,Distributor,175,7650,0.151594,1338750,202946.47,1135803.53,3404.04,595707.0,540096.53,0.475519
2026-01-01,Latest Forecast,Germany,Sensor X,Sensor Systems,Enterprise,97,7650,0.083035,742050,61616.12,680433.88,3404.04,330191.88,350242.0,0.514733
2026-01-01,Latest Forecast,Germany,Sensor X,Sensor Systems,SME,66,7650,0.022407,504900,11313.29,493586.71,3404.04,224666.64,268920.07,0.544828
2026-01-01,Latest Forecast,Germany,Sensor X,Sensor Systems,Systems Integrator,93,7650,0.085699,711450,60970.55,650479.45,3404.04,316575.72,333903.73,0.513319
2026-01-01,Latest Forecast,Germany,Sensor X Pro,Sensor Systems,Distributor,110,11600,0.12892,1276000,164501.92,1111498.08,5454.41,599985.1,511512.98,0.460201
2026-01-01,Latest Forecast,Germany,Sensor X Pro,Sensor Systems,Enterprise,85,11600,0.066137,986000,65211.08,920788.92,5454.41,463624.85,457164.07,0.496492
2026-01-01,Latest Forecast,Germany,Sensor X Pro,Sensor Systems,SME,50,11600,0.048148,580000,27925.84,552074.16,5454.41,272720.5,279353.66,0.506007
2026-01-01,Latest Forecast,Germany,Sensor X Pro,Sensor Systems,Systems Integrator,83,11600,0.103485,962800,99635.36,863164.64,5454.41,452716.03,410448.61,0.475516
2026-01-01,Latest Forecast,Germany,Service Kit,Accessories & Services,Distributor,132,4850,0.143445,640200,91833.49,548366.51,1569.08,207118.56,341247.95,0.622299
2026-01-01,Latest Forecast,Germany,Service Kit,Accessories & Services,Enterprise,91,4850,0.072978,441350,32208.84,409141.16,1569.08,142786.28,266354.88,0.65101
2026-01-01,Latest Forecast,Germany,Service Kit,Accessories & Services,SME,56,4850,0.02982,271600,8099.11,263500.89,1569.08,87868.48,175632.41,0.666534
2026-01-01,Latest Forecast,Germany,Service Kit,Accessories & Services,Systems Integrator,87,4850,0.103826,421950,43809.38,378140.62,1569.08,136509.96,241630.66,0.638997
2026-01-01,Latest Forecast,Netherlands,Connectivity Pack,Accessories & Services,Distributor,67,3000,0.134778,201000,27090.38,173909.62,914.62,61279.54,112630.08,0.647636
2026-01-01,Latest Forecast,Netherlands,Connectivity Pack,Accessories & Services,Enterprise,73,3000,0.083862,219000,18365.78,200634.22,914.62,66767.26,133866.96,0.667219
2026-01-01,Latest Forecast,Netherlands,Connectivity Pack,Accessories & Services,SME,48,3000,0.028417,144000,4092.05,139907.95,914.62,43901.76,96006.19,0.68621
2026-01-01,Latest Forecast,Netherlands,Connectivity Pack,Accessories & Services,Systems Integrator,44,3000,0.098533,132000,13006.36,118993.64,914.62,40243.28,78750.36,0.661803
2026-01-01,Latest Forecast,Netherlands,Control Mini,Control Systems,Distributor,37,15100,0.135528,558700,75719.49,482980.51,7689.71,284519.27,198461.24,0.410909
2026-01-01,Latest Forecast,Netherlands,Control Mini,Control Systems,Enterprise,30,15100,0.071209,453000,32257.68,420742.32,7689.71,230691.3,190051.02,0.451704
2026-01-01,Latest Forecast,Netherlands,Control Mini,Control Systems,SME,25,15100,0.051558,377500,19463.15,358036.85,7689.71,192242.75,165794.1,0.463064
2026-01-01,Latest Forecast,Netherlands,Control Mini,Control Systems,Systems Integrator,26,15100,0.100079,392600,39291.02,353308.98,7689.71,199932.46,153376.52,0.434114
2026-01-01,Latest Forecast,Netherlands,EdgeHub Core,Control Systems,Distributor,26,29100,0.134365,756600,101660.56,654939.44,15537.04,403963.04,250976.4,0.383206
2026-01-01,Latest Forecast,Netherlands,EdgeHub Core,Control Systems,Enterprise,25,29100,0.064579,727500,46981.22,680518.78,15537.04,388426.0,292092.78,0.429221
2026-01-01,Latest Forecast,Netherlands,EdgeHub Core,Control Systems,SME,20,29100,0.053248,582000,30990.34,551009.66,15537.04,310740.8,240268.86,0.436052
2026-01-01,Latest Forecast,Netherlands,EdgeHub Core,Control Systems,Systems Integrator,15,29100,0.10846,436500,47342.79,389157.21,15537.04,233055.6,156101.61,0.401127
2026-01-01,Latest Forecast,Netherlands,EdgeHub Pro,Control Systems,Distributor,15,43700,0.151472,655500,99289.9,556210.1,24796.2,371943.0,184267.1,0.33129
2026-01-01,Latest Forecast,Netherlands,EdgeHub Pro,Control Systems,Enterprise,19,43700,0.076032,830300,63129.37,767170.63,24796.2,471127.8,296042.83,0.385889
2026-01-01,Latest Forecast,Netherlands,EdgeHub Pro,Control Systems,SME,11,43700,0.042885,480700,20614.82,460085.18,24796.2,272758.2,187326.98,0.407157
2026-01-01,Latest Forecast,Netherlands,EdgeHub Pro,Control Systems,Systems Integrator,8,43700,0.092965,349600,32500.56,317099.44,24796.2,198369.6,118729.84,0.374425
2026-01-01,Latest Forecast,Netherlands,Sensor Lite,Sensor Systems,Distributor,74,4050,0.131903,299700,39531.33,260168.67,1641.29,121455.46,138713.21,0.533166
2026-01-01,Latest Forecast,Netherlands,Sensor Lite,Sensor Systems,Enterprise,79,4050,0.081933,319950,26214.46,293735.54,1641.29,129661.91,164073.63,0.558576
2026-01-01,Latest Forecast,Netherlands,Sensor Lite,Sensor Systems,SME,63,4050,0.033556,255150,8561.81,246588.19,1641.29,103401.27,143186.92,0.580672
2026-01-01,Latest Forecast,Netherlands,Sensor Lite,Sensor Systems,Systems Integrator,57,4050,0.099199,230850,22900.09,207949.91,1641.29,93553.53,114396.38,0.550115
2026-01-01,Latest Forecast,Netherlands,Sensor X,Sensor Systems,Distributor,70,7900,0.149004,553000,82399.21,470600.79,3457.47,242022.9,228577.89,0.485715
2026-01-01,Latest Forecast,Netherlands,Sensor X,Sensor Systems,Enterprise,75,7900,0.069669,592500,41278.88,551221.12,3457.47,259310.25,291910.87,0.529571
2026-01-01,Latest Forecast,Netherlands,Sensor X,Sensor Systems,SME,48,7900,0.046373,379200,17584.64,361615.36,3457.47,165958.56,195656.8,0.541063
2026-01-01,Latest Forecast,Netherlands,Sensor X,Sensor Systems,Systems Integrator,49,7900,0.092353,387100,35749.85,351350.15,3457.47,169416.03,181934.12,0.517814
2026-01-01,Latest Forecast,Netherlands,Sensor X Pro,Sensor Systems,Distributor,44,11950,0.13274,525800,69794.69,456005.31,5618.47,247212.68,208792.63,0.457873
2026-01-01,Latest Forecast,Netherlands,Sensor X Pro,Sensor Systems,Enterprise,45,11950,0.078279,537750,42094.53,495655.47,5618.47,252831.15,242824.32,0.489905
2026-01-01,Latest Forecast,Netherlands,Sensor X Pro,Sensor Systems,SME,28,11950,0.034455,334600,11528.64,323071.36,5618.47,157317.16,165754.2,0.513058
2026-01-01,Latest Forecast,Netherlands,Sensor X Pro,Sensor Systems,Systems Integrator,33,11950,0.092652,394350,36537.32,357812.68,5618.47,185409.51,172403.17,0.481825
2026-01-01,Latest Forecast,Netherlands,Service Kit,Accessories & Services,Distributor,54,5000,0.146292,270000,39498.84,230501.16,1556.64,84058.56,146442.6,0.635323
2026-01-01,Latest Forecast,Netherlands,Service Kit,Accessories & Services,Enterprise,50,5000,0.082169,250000,20542.25,229457.75,1556.64,77832.0,151625.75,0.6608
2026-01-01,Latest Forecast,Netherlands,Service Kit,Accessories & Services,SME,35,5000,0.047038,175000,8231.65,166768.35,1556.64,54482.4,112285.95,0.673305
2026-01-01,Latest Forecast,Netherlands,Service Kit,Accessories & Services,Systems Integrator,34,5000,0.088863,170000,15106.71,154893.29,1556.64,52925.76,101967.53,0.658308
2026-01-01,Latest Forecast,Norway,Connectivity Pack,Accessories & Services,Distributor,54,3050,0.132416,164700,21808.92,142891.08,910.55,49169.7,93721.38,0.655894
2026-01-01,Latest Forecast,Norway,Connectivity Pack,Accessories & Services,Enterprise,138,3050,0.061948,420900,26073.91,394826.09,910.55,125655.9,269170.19,0.681744
2026-01-01,Latest Forecast,Norway,Connectivity Pack,Accessories & Services,SME,68,3050,0.031946,207400,6625.6,200774.4,910.55,61917.4,138857.0,0.691607
2026-01-01,Latest Forecast,Norway,Connectivity Pack,Accessories & Services,Systems Integrator,50,3050,0.094467,152500,14406.22,138093.78,910.55,45527.5,92566.28,0.670315
2026-01-01,Latest Forecast,Norway,Control Mini,Control Systems,Distributor,29,15250,0.146672,442250,64865.69,377384.31,7561.0,219269.0,158115.31,0.418977
2026-01-01,Latest Forecast,Norway,Control Mini,Control Systems,Enterprise,67,15250,0.071944,1021750,73508.78,948241.22,7561.0,506587.0,441654.22,0.465761
2026-01-01,Latest Forecast,Norway,Control Mini,Control Systems,SME,44,15250,0.050928,671000,34172.69,636827.31,7561.0,332684.0,304143.31,0.477591
2026-01-01,Latest Forecast,Norway,Control Mini,Control Systems,Systems Integrator,27,15250,0.106445,411750,43828.73,367921.27,7561.0,204147.0,163774.27,0.445134
2026-01-01,Latest Forecast,Norway,EdgeHub Core,Control Systems,Distributor,30,29400,0.162775,882000,143567.55,738432.45,15350.77,460523.1,277909.35,0.37635
2026-01-01,Latest Forecast,Norway,EdgeHub Core,Control Systems,Enterprise,61,29400,0.053708,1793400,96319.93,1697080.07,15350.77,936396.97,760683.1,0.448231
2026-01-01,Latest Forecast,Norway,EdgeHub Core,Control Systems,SME,31,29400,0.033293,911400,30343.24,881056.76,15350.77,475873.87,405182.89,0.459883
2026-01-01,Latest Forecast,Norway,EdgeHub Core,Control Systems,Systems Integrator,23,29400,0.09191,676200,62149.54,614050.46,15350.77,353067.71,260982.75,0.425018
2026-01-01,Latest Forecast,Norway,EdgeHub Pro,Control Systems,Distributor,16,44150,0.166244,706400,117434.76,588965.24,25109.07,401745.12,187220.12,0.31788
2026-01-01,Latest Forecast,Norway,EdgeHub Pro,Control Systems,Enterprise,38,44150,0.074804,1677700,125498.67,1552201.33,25109.07,954144.66,598056.67,0.385296
2026-01-01,Latest Forecast,Norway,EdgeHub Pro,Control Systems,SME,22,44150,0.023554,971300,22878.0,948422.0,25109.07,552399.54,396022.46,0.417559
2026-01-01,Latest Forecast,Norway,EdgeHub Pro,Control Systems,Systems Integrator,17,44150,0.103294,750550,77527.31,673022.69,25109.07,426854.19,246168.5,0.365766
2026-01-01,Latest Forecast,Norway,Sensor Lite,Sensor Systems,Distributor,51,4100,0.161541,209100,33778.22,175321.78,1684.18,85893.18,89428.6,0.510083
2026-01-01,Latest Forecast,Norway,Sensor Lite,Sensor Systems,Enterprise,138,4100,0.05023,565800,28420.13,537379.87,1684.18,232416.84,304963.03,0.5675
2026-01-01,Latest Forecast,Norway,Sensor Lite,Sensor Systems,SME,75,4100,0.036083,307500,11095.52,296404.48,1684.18,126313.5,170090.98,0.573848
2026-01-01,Latest Forecast,Norway,Sensor Lite,Sensor Systems,Systems Integrator,62,4100,0.092372,254200,23480.96,230719.04,1684.18,104419.16,126299.88,0.547419
2026-01-01,Latest Forecast,Norway,Sensor X,Sensor Systems,Distributor,53,8000,0.133572,424000,56634.53,367365.47,3411.18,180792.54,186572.93,0.507867
2026-01-01,Latest Forecast,Norway,Sensor X,Sensor Systems,Enterprise,112,8000,0.085716,896000,76801.54,819198.46,3411.18,382052.16,437146.3,0.533627
2026-01-01,Latest Forecast,Norway,Sensor X,Sensor Systems,SME,73,8000,0.052353,584000,30574.15,553425.85,3411.18,249016.14,304409.71,0.550046
2026-01-01,Latest Forecast,Norway,Sensor X,Sensor Systems,Systems Integrator,50,8000,0.108753,400000,43501.2,356498.8,3411.18,170559.0,185939.8,0.521572
2026-01-01,Latest Forecast,Norway,Sensor X Pro,Sensor Systems,Distributor,33,12100,0.127221,399300,50799.35,348500.65,5536.46,182703.18,165797.47,0.475745
2026-01-01,Latest Forecast,Norway,Sensor X Pro,Sensor Systems,Enterprise,88,12100,0.074542,1064800,79372.32,985427.68,5536.46,487208.48,498219.2,0.505587
2026-01-01,Latest Forecast,Norway,Sensor X Pro,Sensor Systems,SME,53,12100,0.049534,641300,31766.15,609533.85,5536.46,293432.38,316101.47,0.518595
2026-01-01,Latest Forecast,Norway,Sensor X Pro,Sensor Systems,Systems Integrator,35,12100,0.082681,423500,35015.4,388484.6,5536.46,193776.1,194708.5,0.5012
2026-01-01,Latest Forecast,Norway,Service Kit,Accessories & Services,Distributor,48,5050,0.14745,242400,35741.88,206658.12,1532.59,73564.32,133093.8,0.644029
2026-01-01,Latest Forecast,Norway,Service Kit,Accessories & Services,Enterprise,114,5050,0.056636,575700,32605.35,543094.65,1532.59,174715.26,368379.39,0.678297
2026-01-01,Latest Forecast,Norway,Service Kit,Accessories & Services,SME,61,5050,0.030809,308050,9490.71,298559.29,1532.59,93487.99,205071.3,0.68687
2026-01-01,Latest Forecast,Norway,Service Kit,Accessories & Services,Systems Integrator,49,5050,0.11254,247450,27848.02,219601.98,1532.59,75096.91,144505.07,0.658032
2026-01-01,Latest Forecast,Sweden,Connectivity Pack,Accessories & Services,Distributor,66,3000,0.149797,198000,29659.81,168340.19,907.51,59895.66,108444.53,0.644199
2026-01-01,Latest Forecast,Sweden,Connectivity Pack,Accessories & Services,Enterprise,89,3000,0.078694,267000,21011.3,245988.7,907.51,80768.39,165220.31,0.671658
2026-01-01,Latest Forecast,Sweden,Connectivity Pack,Accessories & Services,SME,60,3000,0.053113,180000,9560.34,170439.66,907.51,54450.6,115989.06,0.680529
2026-01-01,Latest Forecast,Sweden,Connectivity Pack,Accessories & Services,Systems Integrator,43,3000,0.105933,129000,13665.36,115334.64,907.51,39022.93,76311.71,0.661655
2026-01-01,Latest Forecast,Sweden,Control Mini,Control Systems,Distributor,35,14950,0.17124,523250,89601.33,433648.67,7808.68,273303.8,160344.87,0.369758
2026-01-01,Latest Forecast,Sweden,Control Mini,Control Systems,Enterprise,54,14950,0.075508,807300,60957.61,746342.39,7808.68,421668.72,324673.67,0.43502
2026-01-01,Latest Forecast,Sweden,Control Mini,Control Systems,SME,33,14950,0.052484,493350,25892.98,467457.02,7808.68,257686.44,209770.58,0.448748
2026-01-01,Latest Forecast,Sweden,Control Mini,Control Systems,Systems Integrator,26,14950,0.108372,388700,42124.2,346575.8,7808.68,203025.68,143550.12,0.414195
2026-01-01,Latest Forecast,Sweden,EdgeHub Core,Control Systems,Distributor,25,28850,0.133851,721250,96540.03,624709.97,15711.03,392775.75,231934.22,0.371267
2026-01-01,Latest Forecast,Sweden,EdgeHub Core,Control Systems,Enterprise,36,28850,0.060205,1038600,62528.91,976071.09,15711.03,565597.08,410474.01,0.420537
2026-01-01,Latest Forecast,Sweden,EdgeHub Core,Control Systems,SME,26,28850,0.037201,750100,27904.47,722195.53,15711.03,408486.78,313708.75,0.434382
2026-01-01,Latest Forecast,Sweden,EdgeHub Core,Control Systems,Systems Integrator,20,28850,0.102999,577000,59430.42,517569.58,15711.03,314220.6,203348.98,0.392892
2026-01-01,Latest Forecast,Sweden,EdgeHub Pro,Control Systems,Distributor,16,43250,0.137541,692000,95178.37,596821.63,24821.49,397143.84,199677.79,0.334569
2026-01-01,Latest Forecast,Sweden,EdgeHub Pro,Control Systems,Enterprise,25,43250,0.049296,1081250,53301.3,1027948.7,24821.49,620537.25,407411.45,0.396334
2026-01-01,Latest Forecast,Sweden,EdgeHub Pro,Control Systems,SME,14,43250,0.030503,605500,18469.57,587030.43,24821.49,347500.86,239529.57,0.408036
2026-01-01,Latest Forecast,Sweden,EdgeHub Pro,Control Systems,Systems Integrator,11,43250,0.108601,475750,51666.93,424083.07,24821.49,273036.39,151046.68,0.356172
2026-01-01,Latest Forecast,Sweden,Sensor Lite,Sensor Systems,Distributor,78,4000,0.14054,312000,43848.48,268151.52,1694.84,132197.52,135954.0,0.507004
2026-01-01,Latest Forecast,Sweden,Sensor Lite,Sensor Systems,Enterprise,108,4000,0.083503,432000,36073.3,395926.7,1694.84,183042.72,212883.98,0.537685
2026-01-01,Latest Forecast,Sweden,Sensor Lite,Sensor Systems,SME,84,4000,0.03507,336000,11783.52,324216.48,1694.84,142366.56,181849.92,0.56089
2026-01-01,Latest Forecast,Sweden,Sensor Lite,Sensor Systems,Systems Integrator,52,4000,0.097774,208000,20336.99,187663.01,1694.84,88131.68,99531.33,0.530373
2026-01-01,Latest Forecast,Sweden,Sensor X,Sensor Systems,Distributor,61,7850,0.138591,478850,66364.3,412485.7,3373.5,205783.5,206702.2,0.501114
2026-01-01,Latest Forecast,Sweden,Sensor X,Sensor Systems,Enterprise,96,7850,0.063506,753600,47858.12,705741.88,3373.5,323856.0,381885.88,0.541113
2026-01-01,Latest Forecast,Sweden,Sensor X,Sensor Systems,SME,64,7850,0.043319,502400,21763.47,480636.53,3373.5,215904.0,264732.53,0.550796
2026-01-01,Latest Forecast,Sweden,Sensor X,Sensor Systems,Systems Integrator,42,7850,0.088378,329700,29138.23,300561.77,3373.5,141687.0,158874.77,0.528593
2026-01-01,Latest Forecast,Sweden,Sensor X Pro,Sensor Systems,Distributor,46,11850,0.143706,545100,78334.14,466765.86,5589.78,257129.88,209635.98,0.449124
2026-01-01,Latest Forecast,Sweden,Sensor X Pro,Sensor Systems,Enterprise,59,11850,0.066895,699150,46769.64,652380.36,5589.78,329797.02,322583.34,0.494471
2026-01-01,Latest Forecast,Sweden,Sensor X Pro,Sensor Systems,SME,43,11850,0.046254,509550,23568.73,485981.27,5589.78,240360.54,245620.73,0.505412
2026-01-01,Latest Forecast,Sweden,Sensor X Pro,Sensor Systems,Systems Integrator,30,11850,0.096078,355500,34155.73,321344.27,5589.78,167693.4,153650.87,0.47815
2026-01-01,Latest Forecast,Sweden,Service Kit,Accessories & Services,Distributor,38,4950,0.14602,188100,27466.36,160633.64,1564.23,59440.74,101192.9,0.629961
2026-01-01,Latest Forecast,Sweden,Service Kit,Accessories & Services,Enterprise,61,4950,0.066102,301950,19959.5,281990.5,1564.23,95418.03,186572.47,0.661627
2026-01-01,Latest Forecast,Sweden,Service Kit,Accessories & Services,SME,44,4950,0.065338,217800,14230.62,203569.38,1564.23,68826.12,134743.26,0.661903
2026-01-01,Latest Forecast,Sweden,Service Kit,Accessories & Services,Systems Integrator,33,4950,0.092312,163350,15079.17,148270.83,1564.23,51619.59,96651.24,0.651856
2026-01-01,Latest Forecast,United Kingdom,Connectivity Pack,Accessories & Services,Distributor,72,3150,0.12886,226800,29225.45,197574.55,891.79,64208.88,133365.67,0.675014
2026-01-01,Latest Forecast,United Kingdom,Connectivity Pack,Accessories & Services,Enterprise,92,3150,0.070771,289800,20509.44,269290.56,891.79,82044.68,187245.88,0.69533
2026-01-01,Latest Forecast,United Kingdom,Connectivity Pack,Accessories & Services,SME,67,3150,0.025171,211050,5312.34,205737.66,891.79,59749.93,145987.73,0.709582
2026-01-01,Latest Forecast,United Kingdom,Connectivity Pack,Accessories & Services,Systems Integrator,48,3150,0.113529,151200,17165.58,134034.42,891.79,42805.92,91228.5,0.680635
2026-01-01,Latest Forecast,United Kingdom,Control Mini,Control Systems,Distributor,35,15850,0.139243,554750,77245.05,477504.95,7611.58,266405.3,211099.65,0.442089
